Grupo_Filial;Filial;GROSS_SALE;TAXES;NET_REVENUE;COGS;GROSS_PROFIT;Delivery_Services;Store_Supplies;Rent_Expense;Utilities;Salaries_And_Wages;Benefits;Depreciation_And_Amortization;Marketing_And_Advertising;Maintenance_And_Repairs;Insurance;Other_Operating_Expenses;Store_Operating_Income;Interest_Expense;Interest_Income;NET_INCOME_BEFORE_TAX;Income_Tax_Expense;NET_INCOME;Start Date;End Date
Grupo Raízes do Brasil;Mercado_Central;1576392,5351710632;-90160,80385049312;1486231,73132057;-854774,2199783742;631457,5113421958;-21709,778935063947;-17738,392873374454;-10022,666832517056;-18161,364885872146;-111705,95698625808;33447,72794650947;-6282,77031067772;-15224,565800576738;-4507,535826233496;-1866,474396761678;-7627,319934724234;450058,4125066458;-20299,28987507853;3019,7894467734272;432778,91207834065;-65559,4223671586;367219,4897111821;mar/25;mar/25
Grupo Raízes do Brasil;Praia_Market;771541,5492394683;-50469,32631844092;721072,2229210273;-431253,1937451033;289819,029175924;-17247,885390818916;-3281,2615161131625;-49957,42740112936;-9177,079226225382;-41549,68989898187;9542,71679988525;-7289,4754670311695;-7252,593830279461;-3403,4797935964725;-1214,0329483279575;-3428,0154802443276;155560,80502306117;-6468,407617234698;1414,6131949699645;150507,01060079646;-23158,28463362222;127348,72596717425;mar/25;mar/25
Grupo Raízes do Brasil;Jardim_Alimentos;1593575,7750470368;-93176,9500179345;1500398,8250291024;-1037171,9155505252;463226,9094785772;-27013,511813716883;-9589,255360069794;-35077,99500594514;-15908,07537108791;-49460,59724063391;11824,691962172446;-2990,822107337314;-15770,203290039382;-4104,87346696917;-1654,0456196317796;-8254,473985664998;305227,7481796533;-7860,300588865877;1027,0554036589922;298394,50299444643;-55344,81683161239;243049,68616283406;mar/25;mar/25
Grupo Raízes do Brasil;Point_do_Sabor;577167,7819073424;-39558,68271266908;537609,0991946734;-362640,3856128028;174968,71358187054;-7864,513751375665;-3845,776124598324;-37820,933323014775;-13152,251923177259;-33992,185164357674;9840,138177275167;-3610,350272274153;-7145,869500672193;-3480,2159828936115;-1823,0845924957;-2714,2221277954095;69359,44899649094;-3409,160278013952;32,072311958326125;65982,36103043532;-14017,764031416278;51964,59699901904;mar/25;mar/25
Grupo Raízes do Brasil;Estrela_do_Bairro;1303935,4391795732;-71106,24905935745;1232829,1901202158;-693887,8937871202;538941,2963330955;-30514,34101218091;-9196,556977981296;-14143,49388270251;-6864,052633278437;-84955,89644616916;21534,316120250252;-9140,95372096602;-10852,993897112687;-2926,8583602088756;-1909,5113031185786;-6577,057263597895;383393,89695602946;-12546,504024740745;2621,8651969176763;373469,25812820636;-71439,51609559143;302029,74203261494;mar/25;mar/25
Grupo Raízes do Brasil;Sol_Nascente_Varejo;991145,9904639783;-74051,77300824625;917094,217455732;-507011,66017063305;410082,557285099;-15214,563225191096;-10592,828221264634;-39804,894069204776;-10411,448446338698;-76370,32891230399;19393,569544570673;-3021,710506653182;-12909,395913417953;-2321,864694353616;-1643,3918844820657;-6269,807715076329;250915,89324138334;-12198,997119383568;1272,4287742716422;239989,32489627143;-42963,25261689333;197026,0722793781;mar/25;mar/25
Vértice Alimentos;Vila_Nova_Compras;1605781,5637827641;-138683,6908843874;1467097,8728983768;-975148,3506913856;491949,5222069912;-15848,169577170524;-10661,444190548984;-24716,242538113293;-13389,127664386597;-88031,42119527793;20216,590056995672;-5374,025694649268;-12369,351383587878;-1643,0459291891952;-717,8532096857726;-8746,471333494494;330668,9595478831;-13051,973821521708;2621,371472990362;320238,35719935177;-49568,995719232116;270669,36148011964;mar/25;mar/25
Vértice Alimentos;Bairro_Feliz_Mercado;1993985,783256873;-142941,80086068792;1851043,9823961852;-1065410,3981849125;785633,5842112727;-39254,106933261915;-12877,721804062357;-35650,24327036209;-6790,331976276387;-134927,80792773832;38029,11016576798;-4192,845155142755;-32392,27971542;-3736,9899447098687;-650,399233526091;-14181,677645149617;539008,2907713914;-13625,950122295462;3554,61047065686;528936,9511197528;-125320,85024825341;403616,1008714994;mar/25;mar/25
Vértice Alimentos;Economia_Pra_Voce;855980,2042970135;-48708,5017632864;807271,702533727;-480802,4572022192;326469,2453315079;-10475,335031717486;-9199,664502533193;-42976,99784291679;-15424,812696555002;-36747,78826796755;8495,542259389249;-2483,771857393729;-8392,361379973836;-2583,1594183306406;-1349,978758647448;-3593,6693398929556;201737,24849496846;-3258,119467171094;1858,9262389141768;200338,05526671154;-38541,173995317295;161796,88127139426;mar/25;mar/25
Vértice Alimentos;Qualidade_Sempre;1350153,5699565574;-74125,8599862807;1276027,7099702766;-870539,591576697;405488,1183935796;-23999,91087427589;-4974,493901680134;-21891,916092811953;-7678,439388562309;-57306,58245498742;16575,541394547778;-3249,0513954388653;-15441,697701491777;-3826,8676410105318;-1741,924745097656;-7037,442536943823;274915,33305582707;-3363,5820668986507;2150,3619887516543;273702,11297768005;-67826,8557399908;205875,25723768925;mar/25;mar/25
