Grupo_Filial;Filial;GROSS_SALE;TAXES;NET_REVENUE;COGS;GROSS_PROFIT;Delivery_Services;Store_Supplies;Rent_Expense;Utilities;Salaries_And_Wages;Benefits;Depreciation_And_Amortization;Marketing_And_Advertising;Maintenance_And_Repairs;Insurance;Other_Operating_Expenses;Store_Operating_Income;Interest_Expense;Interest_Income;NET_INCOME_BEFORE_TAX;Income_Tax_Expense;NET_INCOME;Start Date;End Date
Grupo Raízes do Brasil;Mercado_Central;1423367,1393118047;-136145,58935344953;1287221,5499583553;-897410,3131847699;389811,2367735853;-22837,06680313138;-10284,227702765245;-41695,99958896846;-17072,453493459798;-52434,535075210886;13144,177090961846;-3598,9888421725154;-18661,38911955628;-4559,912670700349;-828,4107548308511;-6289,2508101016465;224693,17900364974;-10229,805624237437;1960,4584734893242;216423,83185290164;-45312,88741716207;171110,94443573957;may/25;may/25
Grupo Raízes do Brasil;Praia_Market;1543533,2310706417;-132119,31714033306;1411413,9139303085;-935169,758195609;476244,15573469957;-28318,521344116405;-7747,534202805943;-35412,83752145653;-15171,676462035226;-83804,8392608884;17720,31941776054;-3995,3474131498137;-23460,60647005419;-3652,346229205347;-1866,5550576019916;-8095,151343853563;282439,0598472926;-13552,867234218998;1658,6143479436557;270544,80696101725;-63867,454947102386;206677,35201391487;may/25;may/25
Grupo Raízes do Brasil;Jardim_Alimentos;1723887,6750100227;-169992,01824921844;1553895,6567608044;-961012,7260619815;592882,9306988228;-22004,144102668793;-9811,957587928991;-19757,865197329847;-11461,743693492861;-94006,29580021182;22994,05497895833;-9364,61493600014;-22951,69980548058;-1308,7122520025498;-1966,8347142305415;-7510,118974002843;415732,9986144322;-2483,7751213288916;891,8665077171163;414141,0900008204;-86248,55847585772;327892,5315249627;may/25;may/25
Grupo Raízes do Brasil;Point_do_Sabor;1324453,312303309;-130066,34170769209;1194386,970595617;-765836,0912041747;428550,8793914424;-23042,27771732671;-5799,638762625277;-40934,465313635534;-19889,80727935068;-83899,24968190391;17470,2245348661;-4053,3082803022494;-9541,120972104109;-4482,718992145756;-1059,671176516992;-4406,040531088488;248912,80521930874;-1787,727358075438;195,20231522950675;247320,2801764628;-40666,868576367924;206653,41160009487;may/25;may/25
Grupo Raízes do Brasil;Estrela_do_Bairro;1253919,6918920763;-81102,77188197427;1172816,920010102;-688965,3067566107;483851,61325349123;-27735,151461426547;-13850,097215917722;-15854,794139377582;-11789,176710511714;-88954,47233568036;19465,920634617494;-8385,653319139226;-15605,038482900844;-3999,34842170275;-598,5298473682574;-7058,270793638292;309487,0011604455;-4650,724586957953;1952,6819349977;306788,95850848523;-57460,50392197757;249328,45458650767;may/25;may/25
Grupo Raízes do Brasil;Sol_Nascente_Varejo;1086950,5307809466;-71612,52266560335;1015338,0081153433;-684624,5610255202;330713,4470898231;-19700,884117357793;-5871,964438513533;-29062,717209807244;-19968,208170021207;-47765,890713284134;9709,868239588262;-8919,165118427194;-13300,056369593784;-2987,056160244687;-1612,1042807484575;-3549,7919529402297;187685,47679847304;-2349,9224940820404;1573,0588520171164;186908,61315640813;-46271,9310111578;140636,68214525032;may/25;may/25
Vértice Alimentos;Vila_Nova_Compras;1240782,3090420088;-121396,96072756364;1119385,3483144452;-760888,9028196598;358496,44549478544;-13898,494574936814;-9225,446737765153;-23971,98694678068;-12358,26768429157;-66147,84578210993;14938,594571572636;-7429,939948989827;-8759,48293672864;-2427,874182042605;-597,2286531705507;-6953,889728403327;221664,58289113894;-2547,568808211901;225,69197530067382;219342,70605822772;-49204,34748865481;170138,3585695729;may/25;may/25
Vértice Alimentos;Bairro_Feliz_Mercado;814338,824507536;-52806,25788178968;761532,5666257463;-432109,0853855385;329423,4812402078;-9925,830461853076;-3482,069895388232;-20748,693213812378;-7055,015463793585;-53021,171728205416;12737,784771315952;-3289,8989042467247;-8934,438986905798;-3071,9596857561905;-1280,3360998659384;-6400,348409157351;224951,50316253913;-2158,608829815544;268,0305256489225;223060,92485837248;-43608,077601031524;179452,84725734097;may/25;may/25
Vértice Alimentos;Economia_Pra_Voce;551501,973889531;-33202,26003795902;518299,71385157196;-351820,0592887486;166479,65456282336;-7438,400152470775;-2139,6865177446243;-48360,651831981064;-10833,718279642719;-30714,797767192278;6229,339858955187;-4625,959681115526;-4991,144864062344;-1892,91084953507;-1014,1819287426165;-1796,7319900183063;58900,810559273246;-176,50154045133246;103,71694004078813;58828,0259588627;-14047,454416945733;44780,57154191697;may/25;may/25
Vértice Alimentos;Qualidade_Sempre;1803337,3707325046;-104837,68899464316;1698499,6817378616;-1093573,1424688417;604926,5392690198;-33163,75320839599;-9440,631763133028;-46025,65692573003;-18892,940447196248;-85991,33696439728;21832,32474662761;-6756,896013346404;-29241,28386175505;-4347,007113146834;-1779,6966478890995;-8235,153602738674;382884,5074679188;-15188,920381451106;189,79507431072912;367885,38216077845;-89438,38754383757;278446,99461694085;may/25;may/25
Vértice Alimentos;Vila_Rica_Emporio;900527,4629311321;-59181,20015262468;841346,2627785074;-491943,25607570016;349403,00670280727;-20823,231081442;-6656,19063990633;-40842,17269276088;-8124,95933027787;-57354,83195534173;16178,413668646463;-7679,555604733848;-14551,93381226873;-3344,887752582579;-1538,6393242476986;-4884,693695255931;199780,32448263618;-4711,2346585796695;1500,8160846245487;196569,90590868107;-33434,45853210534;163135,44737657573;may/25;may/25
Vértice Alimentos;Uniao_Comercial;878110,3804857146;-76542,58450722479;801567,7959784898;-537032,4468797273;264535,3490987625;-14057,803218045796;-6448,602598538433;-20143,559015123898;-18526,60401744005;-52334,46726164779;14897,397305080322;-9392,074637261565;-8673,324025031587;-1624,8822071846153;-532,4164701144755;-5069,336230522172;142629,67672293243;-4033,9493830561746;198,08265742629195;138793,80999730257;-30925,470323272097;107868,33967403047;may/25;may/25
