Grupo_Filial;Filial;GROSS_SALE;TAXES;NET_REVENUE;COGS;GROSS_PROFIT;Delivery_Services;Store_Supplies;Rent_Expense;Utilities;Salaries_And_Wages;Benefits;Depreciation_And_Amortization;Marketing_And_Advertising;Maintenance_And_Repairs;Insurance;Other_Operating_Expenses;Store_Operating_Income;Interest_Expense;Interest_Income;NET_INCOME_BEFORE_TAX;Income_Tax_Expense;NET_INCOME;Start Date;End Date
Grupo Raízes do Brasil;Mercado_Central;1867748,7204420157;-133345,7941219663;1734402,9263200494;-1149293,288052209;585109,6382678405;-19080,69024466161;-16939,601123270204;-46098,485860648056;-19190,067914348467;-113178,4756751322;25714,71351264053;-7972,941975108881;-13126,966575478777;-2021,37506053687;-612,4102032260397;-9992,860667829607;362610,47648024024;-1751,0670279189496;1146,489960277446;362005,89941259875;-67632,16432013182;294373,73509246693;jul/25;jul/25
Grupo Raízes do Brasil;Praia_Market;1896028,7976003783;-167779,54658020692;1728249,2510201714;-1182106,080997069;546143,1700231025;-28206,751096818596;-12271,740968809308;-18497,64744122261;-19641,952396199493;-80565,46711575655;22578,991974613637;-2255,4514578655844;-16853,953325491646;-3083,0840956902944;-843,4943258601187;-7912,440382926935;378590,17939107504;-7668,467402398837;1169,3060269749226;372091,01801565115;-76690,60756064435;295400,4104550068;jul/25;jul/25
Grupo Raízes do Brasil;Jardim_Alimentos;1791184,9415850402;-127215,39477377235;1663969,5468112677;-1017098,1399488472;646871,4068624205;-28691,47796278813;-15062,023495778152;-42794,73831766296;-8984,081911836483;-92287,64988220012;27644,278563936572;-4531,844401927551;-29126,855200259924;-1036,8880383457965;-978,7479632077163;-7363,519591014052;443657,8586613361;-20986,789966740955;3895,8883501554774;426566,9570447507;-67404,61320510575;359162,3438396449;jul/25;jul/25
Grupo Raízes do Brasil;Point_do_Sabor;1474763,094678843;-102869,1350180431;1371893,9596607997;-870181,3638706731;501712,5957901266;-16752,908000928885;-6633,34262367931;-17044,01262433259;-6671,350684691592;-81100,77960664067;19706,660500377177;-8875,591387027158;-11890,978246680987;-4648,084129420633;-1565,5507422147143;-9882,176041162074;356354,4822037252;-6825,301228764128;876,9159128391364;350406,0968878002;-83400,59570162643;267005,50118617376;jul/25;jul/25
Grupo Raízes do Brasil;Estrela_do_Bairro;1589924,4606457432;-119441,42558588594;1470483,0350598572;-947693,7867174771;522789,24834238004;-18269,500460392595;-13481,178691963809;-28050,458877308756;-16730,196675005434;-103678,05693636983;28053,646391785194;-2953,0138256766536;-21132,928494636228;-2089,033534096975;-1413,4231938795333;-8432,529598652178;334612,5744461833;-2434,313956362189;181,18086876674545;332359,4413585878;-55768,4258475711;276591,0155110167;jul/25;jul/25
Grupo Raízes do Brasil;Sol_Nascente_Varejo;2262367,350140535;-187623,6005755534;2074743,7495649813;-1376545,0511253157;698198,6984396656;-35965,57538700487;-13727,424305480967;-19558,333669444277;-8414,565709580289;-84300,1376232388;17230,34277724415;-5915,6786307676975;-15939,855827728517;-1276,1777171397082;-1647,7870852062542;-8601,88240836463;520081,62285295356;-15213,632965285931;2762,000698127012;507629,9905857947;-104152,35524265203;403477,63534314267;jul/25;jul/25
Vértice Alimentos;Vila_Nova_Compras;814579,7547425267;-58807,37483385962;755772,3799086671;-425217,03239940404;330555,347509263;-19210,907662783993;-7555,543505507808;-42268,24261632349;-18664,345895265622;-50718,92155221976;11918,513872809788;-4257,591789532848;-7887,415211149797;-1321,3540481219588;-1350,1001127926868;-6139,534463207167;183099,90452516766;-3914,7865701122705;1520,7985801552556;180705,91653521062;-36677,92700106108;144027,98953414953;jul/25;jul/25
Vértice Alimentos;Bairro_Feliz_Mercado;960738,9628626147;-90128,34778906434;870610,6150735503;-526957,6862965917;343652,9287769586;-19070,01251620139;-7311,441618091218;-39984,06899059206;-12657,604711553826;-41874,55732774661;11139,73204479547;-7769,618444021765;-12989,0142385213;-3446,684168398921;-1958,9330385201563;-4908,228050404517;202822,49771770224;-6892,197342021245;1323,129384414602;197253,4297600956;-42157,970948459995;155095,45881163562;jul/25;jul/25
Vértice Alimentos;Economia_Pra_Voce;2036125,2189049905;-173044,24641175717;1863080,9724932334;-1123554,5551224265;739526,4173708069;-37660,250221653936;-14382,32262904515;-43691,401051839784;-18315,702699970614;-115830,91372774068;28467,59379858593;-7250,584051576074;-19144,230638710196;-1322,5237468416226;-1206,751217311621;-12436,784074560092;496752,547110143;-6735,24577882176;4730,973942530952;494748,27527385217;-108969,03832364824;385779,2369502039;jul/25;jul/25
Vértice Alimentos;Qualidade_Sempre;1275392,218513803;-85506,34349324973;1189885,8750205534;-813152,303485195;376733,5715353583;-18400,183730706856;-4715,190923654665;-24819,37537158669;-7045,885559080489;-43077,72549955137;12508,416104940643;-8358,290072473872;-13651,656182558563;-4876,888805694836;-1029,7740006230438;-3804,502707732869;259462,51478663573;-2159,0828198407467;1749,1009784748762;259052,53294526986;-49548,199129100176;209504,3338161697;jul/25;jul/25
