Grupo_Filial;Filial;GROSS_SALE;TAXES;NET_REVENUE;COGS;GROSS_PROFIT;Delivery_Services;Store_Supplies;Rent_Expense;Utilities;Salaries_And_Wages;Benefits;Depreciation_And_Amortization;Marketing_And_Advertising;Maintenance_And_Repairs;Insurance;Other_Operating_Expenses;Store_Operating_Income;Interest_Expense;Interest_Income;NET_INCOME_BEFORE_TAX;Income_Tax_Expense;NET_INCOME;Start Date;End Date
Grupo Raízes do Brasil;Mercado_Central;1916552,571612924;-168074,3962727886;1748478,1753401356;-1037195,5287140842;711282,6466260514;-26056,938130432984;-14475,226891017266;-43548,79147235648;-9181,173229018488;-123671,92448041688;33570,68891467889;-2420,249556488268;-29495,539582537393;-4989,694142113288;-1736,878340250442;-10318,955517436038;478957,96419866284;-7535,794476133907;3012,2056937746843;474434,37541630364;-99145,86642872976;375288,5089875739;feb/25;feb/25
Grupo Raízes do Brasil;Praia_Market;1605101,9462630826;-108495,85619539933;1496606,0900676833;-1013450,8033865636;483155,2866811197;-23435,89840155664;-13058,319181331708;-19060,73365121024;-6077,7663318837485;-71110,23131111161;16969,23415657776;-2815,14849167277;-15178,783659991906;-4960,4357604942825;-635,8213366634008;-4883,695616774937;338907,6870950062;-16369,924885014638;1636,7042009653792;324174,46641095687;-63702,626595955284;260471,8398150016;feb/25;feb/25
Grupo Raízes do Brasil;Jardim_Alimentos;729890,2503556369;-55522,70739913865;674367,5429564983;-422182,7550820107;252184,78787448764;-7772,657450680098;-6585,892702501668;-13906,87146461016;-12219,39349338318;-31051,285428947016;7671,46514190878;-3369,6353998789396;-5823,394933526846;-2189,360258779151;-768,4505656951997;-4579,707146231597;171589,60417216257;-1719,5012647404071;1565,829573430672;171435,93248085285;-41436,430825608346;129999,5016552445;feb/25;feb/25
Grupo Raízes do Brasil;Point_do_Sabor;1745777,0707239513;-168313,25878574446;1577463,811938207;-1063270,6518186142;514193,1601195927;-18369,936273686402;-15112,292147466978;-46235,3742530288;-17580,383775557268;-87897,96075549276;25001,15020395769;-3856,0281818454805;-12559,63009051484;-1666,0853740488787;-1152,286265979657;-6284,997568136906;328479,3356377924;-8262,375501465305;2142,0280141401067;322358,9881504672;-50385,948620795505;271973,0395296717;feb/25;feb/25
Grupo Raízes do Brasil;Estrela_do_Bairro;691528,086114169;-49212,73913439884;642315,3469797701;-377909,6239948689;264405,7229849012;-12129,929231890477;-5145,205783649865;-49165,261667116036;-14718,341726054377;-28664,477516537787;7755,217132221165;-3026,711405102221;-7603,6208745455915;-1039,8877802194622;-1936,6672232150906;-4814,078077706331;143916,75883108514;-3789,2545004556473;509,7552813578225;140637,2596119873;-32724,191034863197;107913,06857712411;feb/25;feb/25
Grupo Raízes do Brasil;Sol_Nascente_Varejo;1710571,1551640218;-164435,68267141344;1546135,4724926082;-1026697,4540188028;519438,0184738054;-17950,342975737265;-7912,591549428403;-26488,284510256683;-19769,409809792975;-60309,07297257038;15008,62077000224;-8008,1072142696585;-16786,37125559699;-3239,784695487062;-656,6818475498327;-8459,20523792489;364866,7871751935;-9037,772858997552;556,8285748304548;356385,84289102635;-73975,18922264506;282410,6536683813;feb/25;feb/25
Vértice Alimentos;Vila_Nova_Compras;480536,8278537273;-28250,745654937964;452286,08219878934;-252156,72850548621;200129,35369330313;-11395,42495014039;-5249,038979010235;-41279,83779923135;-11181,059799205066;-34034,25028752955;7111,796070715561;-2483,964733210288;-8193,801988495628;-1819,882084035095;-523,9121316847726;-3289,104307004502;87790,87270447181;-776,7915982551915;646,8308959815508;87660,91200219817;-17735,989211892964;69924,9227903052;feb/25;feb/25
Vértice Alimentos;Bairro_Feliz_Mercado;1377740,6802137985;-106064,32805500344;1271676,352158795;-859208,9659063861;412467,38625240896;-20390,688439625592;-5979,984105870688;-40627,10770044236;-14866,537326655824;-47476,06887596541;12871,749798096342;-8223,03822732724;-18394,821558716976;-1488,4880536945193;-1699,8103892557147;-6509,048964144551;259683,5424088064;-857,7279065813224;2144,3833059396434;260970,1978081647;-63822,83856300182;197147,35924516286;feb/25;feb/25
Vértice Alimentos;Economia_Pra_Voce;1555799,3154532786;-128278,0961965307;1427521,219256748;-927839,2081060259;499682,01115072204;-16937,722222647153;-14499,365483254678;-36236,73586575678;-6238,923112293114;-82742,2550513585;24317,108612296397;-7172,979211299617;-18034,1935673535;-2594,0619732474015;-1174,7651612213303;-8384,450147302654;329983,6679672838;-15477,326887160958;1097,5351696003875;315603,87624972325;-51728,77185303203;263875,1043966912;feb/25;feb/25
Vértice Alimentos;Qualidade_Sempre;1294237,286941574;-64733,5986524062;1229503,6882891678;-833078,8769318115;396424,8113573564;-20056,415866866748;-6482,506842269297;-38114,26603635437;-5855,440229818627;-76385,7041009534;20932,200948642825;-4490,957727128673;-8248,0374433713;-3901,892913926292;-1371,3026342305811;-4711,637703471815;247738,85080760802;-7856,915061775011;1136,5814320189695;241018,517177852;-53568,41210860074;187450,10506925124;feb/25;feb/25
Vértice Alimentos;Vila_Rica_Emporio;738211,225182948;-45947,96885497476;692263,2563279733;-471438,1920591282;220825,06426884513;-12355,614591446529;-4643,959906656966;-48363,011134995955;-11726,925393665904;-28940,21712423912;6200,769108820575;-8751,365612237289;-10553,573142131452;-4357,8622237693135;-1712,9920374083297;-3018,757279133212;92601,55493198162;-815,5934770614574;447,82519479769417;92233,78664971786;-22585,845429767396;69647,94121995047;feb/25;feb/25
Vértice Alimentos;Uniao_Comercial;1413240,9611253815;-106790,87685101588;1306450,0842743656;-906106,7156744642;400343,3685999013;-17619,625675107418;-5820,622356049598;-27047,234253235347;-15977,069591796706;-62895,32588544177;13800,409112766663;-5462,957435926181;-14777,853394727876;-4069,5403077037445;-1393,5100694785222;-5260,790936930537;253819,24780627026;-2264,4189112912536;819,1788956421141;252374,0077906211;-39338,36439513643;213035,6433954847;feb/25;feb/25
