Grupo_Filial;Filial;GROSS_SALE;TAXES;NET_REVENUE;COGS;GROSS_PROFIT;Delivery_Services;Store_Supplies;Rent_Expense;Utilities;Salaries_And_Wages;Benefits;Depreciation_And_Amortization;Marketing_And_Advertising;Maintenance_And_Repairs;Insurance;Other_Operating_Expenses;Store_Operating_Income;Interest_Expense;Interest_Income;NET_INCOME_BEFORE_TAX;Income_Tax_Expense;NET_INCOME;Start Date;End Date
Grupo Raízes do Brasil;Mercado_Central;1972976,08327462;-189542,0870990327;1783433,9961755872;-1184885,1522650274;598548,8439105598;-28399,05625472289;-15097,628015569175;-33250,19565426263;-18510,837213382172;-89963,13781055127;26233,875462944085;-4630,83310362192;-12892,00384834994;-2673,0567107483066;-1966,6123380721324;-10466,785226879385;406932,573197344;-1412,3104926224507;251,98440776632043;405772,2471124879;-77190,41789654683;328581,8292159411;jan/25;jan/25
Grupo Raízes do Brasil;Praia_Market;578356,0833533619;-51557,51269337888;526798,5706599831;-364735,55392026395;162063,01673971914;-5054,832060137546;-2729,3325170416256;-46998,010565103075;-8321,313455098394;-24026,834386643182;6676,317997652316;-7662,508328189723;-5633,831907457518;-3600,5297655284817;-1974,0164731626858;-2919,889793452028;59818,23548555718;-36,57923461463678;106,29760730819548;59887,953858250745;-13564,63025209835;46323,32360615239;jan/25;jan/25
Grupo Raízes do Brasil;Jardim_Alimentos;1774221,7811130492;-95870,1375575535;1678351,6435554957;-1105274,1531222311;573077,4904332645;-27801,708177372868;-12908,503365141369;-38212,14409501574;-8091,581989181119;-91730,18231492332;23839,53385822659;-9680,456334153016;-25748,248968217216;-4793,26698667528;-819,935026903407;-6608,622573536754;370522,37446037115;-12765,095608334765;2304,901337551886;360062,1801895883;-81648,66070823894;278413,5194813493;jan/25;jan/25
Grupo Raízes do Brasil;Point_do_Sabor;970924,1357567369;-90912,46048602503;880011,6752707118;-558748,8175916934;321262,8576790184;-10295,430940149465;-9543,532996722932;-37827,17646684821;-9089,769060251561;-61855,06792035959;13266,792576498836;-9015,647068028775;-10710,220442614189;-2681,05554342063;-1582,198819281399;-4261,011930909575;177668,539066931;-6029,706266853054;1349,606173558644;172988,4389736366;-41258,109633349326;131730,32934028728;jan/25;jan/25
Grupo Raízes do Brasil;Estrela_do_Bairro;1720537,9756264992;-109901,96595130075;1610636,0096751985;-987415,1757036067;623220,8339715918;-29781,04641047864;-17586,6245901456;-32597,677597738875;-10002,369752074019;-96492,46737846466;24136,014662249876;-5144,0323910014595;-27294,040145751776;-2004,182361709288;-1609,591302802479;-7248,735353362795;417596,08135031204;-4760,198006511151;279,23587041421524;413115,11921421514;-100460,36491436599;312654,75429984916;jan/25;jan/25
Grupo Raízes do Brasil;Sol_Nascente_Varejo;745218,2695480428;-68109,19383883127;677109,0757092115;-433441,5483129429;243667,52739626862;-13027,26588407091;-6500,444439569368;-43561,64157097856;-9861,9812632124;-45782,886430151404;12139,37474863656;-7925,793623197273;-8918,424185382284;-2003,378714232487;-589,4783148765363;-2771,7745012780824;114863,83321795585;-4264,840932033255;265,85787971931796;110864,85016564191;-18663,373432357173;92201,47673328474;jan/25;jan/25
Vértice Alimentos;Vila_Nova_Compras;1031829,6863146921;-94141,9902758045;937687,6960388876;-648430,8817779322;289256,81426095543;-9069,584142972133;-5295,032397718625;-12095,899195652197;-7403,97685807599;-39428,084690945776;7992,259293634799;-8209,848493532601;-8943,067302567571;-2483,1775257263002;-1493,4079345474913;-3476,6480441230615;199350,34696872847;-8626,528956293101;362,0171198488273;191085,8351322842;-31844,31011669246;159241,52501559176;jan/25;jan/25
Vértice Alimentos;Bairro_Feliz_Mercado;745407,2196205736;-66709,06678279994;678698,1528377737;-440127,23985810624;238570,91297966742;-9669,78641258794;-7130,588982851026;-45317,77634051289;-12416,54475043717;-43408,65713811238;11076,79519711048;-3482,344570212983;-5640,552164394299;-1340,3156883505058;-635,2112043103834;-3175,1396813338893;117430,7912436744;-5494,704203256089;787,4252037645518;112723,51224418286;-18296,32765258292;94427,18459159994;jan/25;jan/25
Vértice Alimentos;Economia_Pra_Voce;1177118,2042119985;-73324,00535452;1103794,1988574786;-719508,261542922;384285,93731455656;-12335,808442444864;-8229,626628879527;-38346,14129318475;-16700,79015303135;-49572,68553016042;12083,780845803656;-6238,252428337238;-11845,349046823596;-2395,1960844998002;-634,6088771495641;-6365,019001293876;243706,2406745552;-4973,24475086398;1880,8048364213635;240613,8007601126;-52743,27614631454;187870,52461379804;jan/25;jan/25
Vértice Alimentos;Qualidade_Sempre;922603,7651551567;-76984,91046515184;845618,8546900048;-535728,7823085493;309890,07238145557;-14924,685488273622;-6882,783215893434;-49142,44623561543;-10406,50173560373;-60293,60401716476;15907,21042413485;-8091,880186541592;-9401,367569966655;-3866,6745284268395;-504,07019937109516;-3307,374612160722;158975,89501657255;-3697,196779642969;1233,1414501051238;156511,8396870347;-27095,21250466133;129416,62718237337;jan/25;jan/25
Vértice Alimentos;Vila_Rica_Emporio;979055,159883056;-53530,53518289163;925524,6247001643;-642650,5553297342;282874,0693704301;-8832,785645924323;-8051,2923617584665;-46248,32905862865;-13037,059680688937;-55052,60331609773;13076,568241281559;-8446,07788725464;-12456,799733067317;-2388,380390667511;-1712,578746177404;-2945,2788635366733;136779,45192790998;-4806,117104212312;563,2189088677568;132536,55373256543;-32807,04439596725;99729,50933659819;jan/25;jan/25
